x_km,y_km,radius_m,depth_m
0.17990223325741783,0.3513461242571887,0.3387462179906809,0.02464017145384504
0.34032928101680837,0.40355633494264065,0.4686240273922806,0.03485935756512753
0.2693298356505933,0.6534734798053505,0.21223996081029106,0.014948105816414231
0.18231844226106586,0.8194068305633823,0.08862074219231578,0.005876561117101348
0.4505399746102502,0.6103340238399699,0.08119153000908283,0.005351492221450996
0.6318138510816264,0.04008746138473118,0.42781649693090446,0.03162439527151991
0.008817988710854263,0.48503341920316234,0.30443229857601634,0.021981611090437194
0.43602395616521805,0.49535927340308117,0.08548992122137361,0.005654900647223012
0.5615063728782921,0.29625539450353533,0.2546590394733178,0.018162607895778397
0.3370616858556639,0.46967130172189875,0.08895859302302805,0.005900513439028186
0.46458800735271877,0.31981016366317305,0.192915591060417,0.013497881355670354
0.5385867957943243,0.0739774958524797,0.4156012347867559,0.030660092682568387
0.7946845607864553,0.5306529864729538,0.3507233387506155,0.02557261626182948
0.6961957602414828,0.9264189073355785,0.2608854660210931,0.018637723314420263
0.7107128820994733,0.125302745898771,0.32936298099172195,0.023911249868396874
0.48250766791163513,0.9901382303125545,0.39356060711757807,0.028925132476267865
0.08035414356706161,0.04543762836451182,0.3299667682592901,0.023958111413016927
0.629571397291514,0.814249846476168,0.4531273580933415,0.033628493843736416
0.024524413562982517,0.02041464959988082,0.14637092641784255,0.010047988682106965
0.09698544799791353,0.6968456229524318,0.2594517238904958,0.0185282497557032
0.5307294842019442,0.9704498070097932,0.2630986505943773,0.018806792737339026
0.8248047683348092,0.7957141263675344,0.23765974242606208,0.016869588654641696
0.6188830376868844,0.49760726047981063,0.2316073702188582,0.01641074216721691
0.08336785878412845,0.12916835781091696,0.20675218624691716,0.01453530339222584
0.32227663478463797,0.12177716355975798,0.06797235491293498,0.004425590020708706
0.34584535218185075,0.22485800256218214,0.24444096522317116,0.01738464906299355
0.19574843610798265,0.6158209018117153,0.1768747374968625,0.012301630610392253
0.9918432864775903,0.6108995399828915,0.1333128039642748,0.009092764737915253
0.8638289402874246,0.06715140096410221,0.22630438027421118,0.016009387154180564
0.698341661404021,0.25719080914454484,0.15107637576709335,0.010393673097068984
0.28395193290216625,0.5667887300682255,0.37103439036266794,0.027158868707393913
0.3710494002463599,0.4628587806690275,0.39146717910217077,0.028760687869669004
0.015428212667642938,0.07615490174115491,0.42345970213437084,0.03128023842328382
0.3260947439834099,0.3954935348174322,0.15490182676215727,0.010675257845493452
0.8648158625399963,0.2333452140426261,0.3622830506109538,0.026474652117879128
0.08439783414642188,0.7396833909865438,0.10043075025057102,0.00671743453563268
0.4346807137109834,0.7455056220876294,0.2816351275732021,0.02022661210397147
0.3646338766967121,0.5223604721457235,0.20112215139432188,0.014112585056465015
0.1137310189137345,0.7758401448296061,0.16605756103810776,0.011499115471203048
0.6525664481703326,0.6930902717754903,0.45906092588920344,0.03409944526339236
0.05931117204380876,0.6189089147744449,0.2584230660388159,0.018449732157820514
0.547421926687435,0.9542440155340434,0.4429866925850745,0.03282460963529434
0.7783326656437924,0.678677763179287,0.22159197964964367,0.015653274416281785
0.662704496013659,0.814588531275481,0.3392998269798135,0.02468322159527264
0.36818637705336976,0.5162768121096014,0.4863015186634788,0.03626686760897684
0.6641845261551795,0.3913499505054132,0.2657830835607017,0.019011993397389324
0.9490472338794427,0.16897304376650246,0.48068710800625014,0.03581945042382769
